sample_id	total_mutations	bin_label	sbs3_relative_exposure_true	recovered_exome_normalized	recovered_no_normalization	abs_error_normalized	abs_error_no_normalization	normalization_improves
SIM-03979	109	[105,116)	0.0	0.0	0.0	0.0	0.0	False
SIM-04037	84	[75,85)	0.0558	0.0	0.0	0.0558	0.0558	False
SIM-04044	40	[35,45)	0.3376	0.0	0.0	0.3376	0.3376	False
SIM-04050	71	[65,75)	0.3447	0.0	0.0	0.3447	0.3447	False
SIM-04080	78	[75,85)	0.202	0.0	0.0	0.202	0.202	False
SIM-04081	85	[85,95)	0.2926	0.0	0.0	0.2926	0.2926	False
SIM-04126	23	[15,25)	0.1972	0.0	0.0	0.1972	0.1972	False
SIM-04188	47	[45,55)	0.1971	0.0	0.0	0.1971	0.1971	False
SIM-04195	50	[45,55)	0.0	0.0	0.0	0.0	0.0	False
SIM-04196	69	[65,75)	0.0819	0.0	0.0	0.0819	0.0819	False
SIM-04207	89	[85,95)	0.2356	0.0	0.0	0.2356	0.2356	False
SIM-04276	24	[15,25)	0.2684	0.0	0.0	0.2684	0.2684	False
SIM-04323	76	[75,85)	0.3926	0.0	0.0	0.3926	0.3926	False
SIM-04362	43	[35,45)	0.0487	0.0	0.0	0.0487	0.0487	False
SIM-04365	105	[105,116)	0.2316	0.0	0.0	0.2316	0.2316	False
SIM-04384	93	[85,95)	0.2644	0.516129	0.591398	0.251729	0.326998	True
SIM-04418	97	[95,105)	0.0	0.0	0.0	0.0	0.0	False
SIM-04468	67	[65,75)	0.0847	0.0	0.0	0.0847	0.0847	False
SIM-04472	55	[55,65)	0.124	0.0	0.0	0.124	0.124	False
SIM-04479	67	[65,75)	0.1622	0.0	0.0	0.1622	0.1622	False
SIM-04506	77	[75,85)	0.2077	0.0	0.0	0.2077	0.2077	False
SIM-04518	61	[55,65)	0.3704	0.0	0.0	0.3704	0.3704	False
SIM-04535	30	[25,35)	0.1897	0.566667	0.433333	0.376967	0.243633	False
SIM-04569	67	[65,75)	0.0105	0.0	0.0	0.0105	0.0105	False
SIM-04574	43	[35,45)	0.0178	0.0	0.0	0.0178	0.0178	False
SIM-04636	95	[95,105)	0.3106	0.515789	0.0	0.205189	0.3106	True
SIM-04697	65	[65,75)	0.1421	0.0	0.0	0.1421	0.1421	False
SIM-04716	60	[55,65)	0.1181	0.0	0.0	0.1181	0.1181	False
SIM-04721	67	[65,75)	0.2099	0.0	0.0	0.2099	0.2099	False
SIM-04771	75	[75,85)	0.1928	0.0	0.0	0.1928	0.1928	False
SIM-04838	61	[55,65)	0.2024	0.0	0.0	0.2024	0.2024	False
SIM-04846	23	[15,25)	0.1454	0.0	0.0	0.1454	0.1454	False
SIM-04859	58	[55,65)	0.2737	0.0	0.0	0.2737	0.2737	False
SIM-04904	23	[15,25)	0.293	0.0	0.0	0.293	0.293	False
SIM-04930	24	[15,25)	0.2104	0.0	0.0	0.2104	0.2104	False
SIM-04958	65	[65,75)	0.2721	0.584615	0.0	0.312515	0.2721	False
SIM-05016	103	[95,105)	0.3241	0.0	0.0	0.3241	0.3241	False
SIM-05057	91	[85,95)	0.3262	0.0	0.0	0.3262	0.3262	False
SIM-05105	22	[15,25)	0.1302	0.0	0.0	0.1302	0.1302	False
SIM-05109	22	[15,25)	0.4978	0.0	0.0	0.4978	0.4978	False
SIM-05120	99	[95,105)	0.4085	0.0	0.0	0.4085	0.4085	False
SIM-05183	85	[85,95)	0.0	0.0	0.0	0.0	0.0	False
SIM-05184	18	[15,25)	0.0513	0.0	0.0	0.0513	0.0513	False
SIM-05187	97	[95,105)	0.1108	0.0	0.0	0.1108	0.1108	False
SIM-05217	27	[25,35)	0.0009	0.0	0.0	0.0009	0.0009	False
SIM-05225	98	[95,105)	0.1939	0.0	0.0	0.1939	0.1939	False
SIM-05247	56	[55,65)	0.1117	0.0	0.0	0.1117	0.1117	False
SIM-05276	34	[25,35)	0.137	0.0	0.0	0.137	0.137	False
SIM-05287	89	[85,95)	0.1527	0.0	0.0	0.1527	0.1527	False
SIM-05292	35	[35,45)	0.1019	0.0	0.0	0.1019	0.1019	False
SIM-05316	43	[35,45)	0.0024	0.0	0.0	0.0024	0.0024	False
SIM-05340	88	[85,95)	0.149	0.0	0.0	0.149	0.149	False
SIM-05344	40	[35,45)	0.3457	0.0	0.0	0.3457	0.3457	False
SIM-05410	51	[45,55)	0.1631	0.0	0.0	0.1631	0.1631	False
SIM-05411	27	[25,35)	0.2012	0.0	0.0	0.2012	0.2012	False
SIM-05425	77	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-05475	18	[15,25)	0.2793	0.0	0.0	0.2793	0.2793	False
SIM-05573	17	[15,25)	0.0459	0.0	0.0	0.0459	0.0459	False
SIM-05687	90	[85,95)	0.0826	0.0	0.0	0.0826	0.0826	False
SIM-05710	62	[55,65)	0.0	0.0	0.0	0.0	0.0	False
SIM-05713	78	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-05740	34	[25,35)	0.2492	0.0	0.0	0.2492	0.2492	False
SIM-05747	77	[75,85)	0.4576	0.0	0.0	0.4576	0.4576	False
SIM-05822	23	[15,25)	0.1672	0.0	0.0	0.1672	0.1672	False
SIM-05824	24	[15,25)	0.1724	0.0	0.0	0.1724	0.1724	False
SIM-05854	34	[25,35)	0.0348	0.0	0.0	0.0348	0.0348	False
SIM-05874	59	[55,65)	0.1854	0.0	0.0	0.1854	0.1854	False
SIM-05880	27	[25,35)	0.0062	0.0	0.0	0.0062	0.0062	False
SIM-05882	101	[95,105)	0.0	0.0	0.0	0.0	0.0	False
SIM-05883	47	[45,55)	0.0743	0.0	0.0	0.0743	0.0743	False
SIM-05891	106	[105,116)	0.0953	0.0	0.0	0.0953	0.0953	False
SIM-05895	76	[75,85)	0.1126	0.0	0.0	0.1126	0.1126	False
