"tumor","exp_sig3","rat_sig3","sig_max_wl","max_wl"
"SIM-05667",36.0195938157331,0.500272136329627,"Signature_3",0.999813546233042
"SIM-05668",0,0,"Signature_5",0.999877238994106
"SIM-05669",0,0,"Signature_5",0.999995943848285
"SIM-05670",15.7381516934159,0.291447253581777,"Signature_3",0.999983683639948
"SIM-05671",0,0,"Signature_5",0.999999999986509
"SIM-05672",25.5698589956347,0.365283699937638,"Signature_5",0.961935072325115
"SIM-05673",26.2678946219756,0.423675719709283,"Signature_3",0.962872858313903
"SIM-05674",0,0,"Signature_5",0.999991078709973
"SIM-05675",25.9859300457002,0.412475080090479,"Signature_3",0.520928139129139
"SIM-05676",6.95485925314153,0.158064983025944,"Signature_5",0.986550024559984
"SIM-05677",31.5397770497679,0.420530360663572,"Signature_3",0.979714187592798
"SIM-05678",25.3565211695456,0.367485814051385,"Signature_5",0.983778311359439
"SIM-05679",16.6665115725754,0.36231546896903,"Signature_3",0.954890176847834
"SIM-05680",0,0,"Signature_5",0.9999564582633
"SIM-05681",25.9946633485501,0.50969928134412,"Signature_3",0.997416047203025
"SIM-05682",19.3224156436315,0.261113724913939,"Signature_5",0.993479789000357
"SIM-05683",16.0240887713548,0.281124364409732,"Signature_5",0.981609558713704
"SIM-05684",0,0,"Signature_5",0.999703208770313
"SIM-05685",26.2970279406834,0.386720999127697,"Signature_3",0.996348547589542
"SIM-05686",13.3955767705896,0.165377490994933,"Signature_5",0.999629405490384
"SIM-05687",7.46840702481295,0.0829823002756995,"Signature_5",0.99999999999593
"SIM-05688",0,0,"Signature_5",0.99999901170003
"SIM-05689",8.98992671133984,0.147375847726883,"Signature_5",0.999999998023848
"SIM-05690",18.2203768251391,0.433818495836646,"Signature_3",0.742021868758926
"SIM-05691",16.3224350654613,0.307970472933232,"Signature_5",0.999795812931237
"SIM-05692",0,0,"Signature_5",0.9999936394052
"SIM-05693",23.3179554622813,0.439961423816629,"Signature_3",0.985171174766396
"SIM-05694",16.4567811733821,0.288715459182141,"Signature_3",0.866299286860302
"SIM-05695",23.2536899968948,0.369106190426902,"Signature_3",0.660725056552325
"SIM-05696",15.9279578195402,0.325060363664085,"Signature_5",0.946190638492764
"SIM-05697",16.6266429532306,0.215930427964033,"Signature_5",0.999827522037737
"SIM-05698",19.438548770827,0.308548393187729,"Signature_3",0.691902323618984
"SIM-05699",13.8027770536267,0.281689327625034,"Signature_3",0.999928776990334
"SIM-05700",27.7642258636109,0.33052649837632,"Signature_5",0.999632823637554
"SIM-05701",0,0,"Signature_5",0.9999999843752
"SIM-05702",0,0,"Signature_5",0.999998401258446
"SIM-05703",15.9791616778608,0.326105340364507,"Signature_5",0.836979228837311
"SIM-05704",0,0,"Signature_5",0.999999532821712
"SIM-05705",0,0,"Signature_5",0.744784290797205
"SIM-05706",0,0,"Signature_5",0.882895042781892
"SIM-05707",0,0,"Signature_5",0.951969139662942
"SIM-05708",0,0,"Signature_5",0.999994297245587
"SIM-05709",14.2782485484057,0.18787169142639,"Signature_5",0.999999982119504
"SIM-05710",19.7178394549211,0.31802966862776,"Signature_3",0.999398488743362
"SIM-05711",17.3489703966518,0.23131960528869,"Signature_5",0.978684767798376
"SIM-05712",22.451860818082,0.415775200334851,"Signature_5",0.84271884540829
"SIM-05713",0,0,"Signature_5",0.999999999999989
"SIM-05714",13.2204253148374,0.249441987072404,"Signature_5",0.784853126092576
"SIM-05715",0,0,"Signature_5",0.999999943153483
"SIM-05716",0,0,"Signature_5",0.999994090226727
"SIM-05717",30.6008216137574,0.437154594482248,"Signature_3",0.999866719892527
"SIM-05718",26.9547494507428,0.341199360135985,"Signature_3",0.972373712233042
"SIM-05719",15.525166254953,0.22831126845519,"Signature_5",0.99999999617511
"SIM-05720",6.0584944692583,0.131706401505615,"Signature_5",0.947604717539904
"SIM-05721",0.0305650264078105,0.000396948394906629,"Signature_5",0.999999999871257
"SIM-05722",20.1491925288126,0.402983850576251,"Signature_5",0.97754151704052
"SIM-05723",33.5672380173403,0.486481710396237,"Signature_3",0.999999510918374
"SIM-05724",13.7981746270928,0.260342917492316,"Signature_3",0.998653895804905
"SIM-05725",26.1127292558374,0.421173052513507,"Signature_5",0.998102840558366
"SIM-05726",0,0,"Signature_5",0.999990216885974
"SIM-05727",15.640339687436,0.214251228595014,"Signature_3",0.999428941217267
"SIM-05728",17.8169040828333,0.228421847215812,"Signature_3",0.779249369494278
"SIM-05729",8.94317779909146,0.127759682844164,"Signature_5",0.999996169507742
"SIM-05730",19.9508741054612,0.269606406830557,"Signature_3",0.635024308642565
"SIM-05731",3.11051612464714,0.0555449307972704,"Signature_5",0.999999627975175
"SIM-05732",0.525232361642486,0.0102986737576958,"Signature_5",0.999999999965376
"SIM-05733",14.3200958583323,0.216971149368671,"Signature_5",0.999980430279984
"SIM-05734",14.9065049766242,0.204198698309921,"Signature_5",0.999999999995218
"SIM-05735",31.8662574922711,0.413847499899625,"Signature_3",0.998350017403277
"SIM-05736",18.4225220745545,0.239253533435773,"Signature_5",0.999177990022008
"SIM-05737",0,0,"Signature_5",0.999999554234857
"SIM-05738",10.2419994323698,0.146314277605283,"Signature_5",0.998309246074633
